Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-02-17 00:00:00-05:00,10.100000381469727,10.239999771118164,9.930000305175781,10.1899995803833,37467000,0.0,0.0
2023-02-21 00:00:00-05:00,10.050000190734863,10.3100004196167,9.960000038146973,10.029999732971191,35046700,0.0,0.0
2023-02-22 00:00:00-05:00,10.010000228881836,10.210000038146973,9.899999618530273,10.180000305175781,34099400,0.0,0.0
2023-02-23 00:00:00-05:00,10.390000343322754,10.399999618530273,9.579999923706055,9.789999961853027,50261600,0.0,0.0
2023-02-24 00:00:00-05:00,9.510000228881836,9.520000457763672,9.130000114440918,9.300000190734863,56808900,0.0,0.0
2023-02-27 00:00:00-05:00,9.529999732971191,9.59000015258789,9.239999771118164,9.329999923706055,42356400,0.0,0.0
2023-02-28 00:00:00-05:00,9.199999809265137,9.4399995803833,9.119999885559082,9.390000343322754,53310800,0.0,0.0
2023-03-01 00:00:00-05:00,9.34000015258789,9.449999809265137,8.770000457763672,8.829999923706055,82172500,0.0,0.0
2023-03-02 00:00:00-05:00,8.5,9.119999885559082,8.3100004196167,9.09000015258789,73183200,0.0,0.0
2023-03-03 00:00:00-05:00,8.970000267028809,9.699999809265137,8.920000076293945,9.569999694824219,60775100,0.0,0.0
2023-03-06 00:00:00-05:00,9.5,9.640000343322754,9.300000190734863,9.3100004196167,35308800,0.0,0.0
2023-03-07 00:00:00-05:00,9.1899995803833,9.260000228881836,8.869999885559082,8.970000267028809,45081500,0.0,0.0
2023-03-08 00:00:00-05:00,8.869999885559082,9.180000305175781,8.670000076293945,9.180000305175781,39709100,0.0,0.0
2023-03-09 00:00:00-05:00,9.010000228881836,9.170000076293945,8.720000267028809,8.789999961853027,48894300,0.0,0.0
2023-03-10 00:00:00-05:00,8.779999732971191,8.8100004196167,8.329999923706055,8.510000228881836,46631300,0.0,0.0
2023-03-13 00:00:00-04:00,8.350000381469727,8.6899995803833,8.029999732971191,8.550000190734863,43877100,0.0,0.0
2023-03-14 00:00:00-04:00,8.510000228881836,8.5600004196167,8.350000381469727,8.420000076293945,36783100,0.0,0.0
2023-03-15 00:00:00-04:00,8.210000038146973,8.319999694824219,8.069999694824219,8.25,40281700,0.0,0.0
